test_id,success,is_verified,false_acceptance,planning_time_ms,verification_latency_ms,planner_latency_ms,expanded_search_nodes,graph_reachable,lifecycle_recovered,telemetry_attributed,plan_depth,graph_depth,candidate_count
sec_01_valid_hmac_run_0,False,False,False,39.95750000467524,15.983000001870096,19.97875000233762,0,False,,True,1,1,1
sec_02_tampered_signature_run_0,True,False,False,33.6445999564603,13.457839982584119,16.82229997823015,0,False,,True,1,1,1
sec_01_valid_hmac_run_1,False,False,False,31.56710002804175,12.6268400112167,15.783550014020875,0,False,,True,1,1,1
sec_02_tampered_signature_run_1,True,False,False,29.808800027240068,11.923520010896027,14.904400013620034,0,False,,True,1,1,1
sec_01_valid_hmac_run_2,False,False,False,30.91789997415617,12.367159989662468,15.458949987078086,0,False,,True,1,1,1
sec_02_tampered_signature_run_2,True,False,False,28.965900011826307,11.586360004730523,14.482950005913153,0,False,,True,1,1,1
sec_01_valid_hmac_run_3,False,False,False,28.72380003100261,11.489520012401044,14.361900015501305,0,False,,True,1,1,1
sec_02_tampered_signature_run_3,True,False,False,29.57859996240586,11.831439984962344,14.78929998120293,0,False,,True,1,1,1
sec_01_valid_hmac_run_4,False,False,False,33.5705999750644,13.428239990025759,16.7852999875322,0,False,,True,1,1,1
sec_02_tampered_signature_run_4,True,False,False,35.069100034888834,14.027640013955534,17.534550017444417,0,False,,True,1,1,1
sec_01_valid_hmac_run_5,False,False,False,31.593299994710833,12.637319997884333,15.796649997355416,0,False,,True,1,1,1
sec_02_tampered_signature_run_5,True,False,False,30.430099985096604,12.172039994038641,15.215049992548302,0,False,,True,1,1,1
sec_01_valid_hmac_run_6,False,False,False,28.351499990094453,11.340599996037781,14.175749995047227,0,False,,True,1,1,1
sec_02_tampered_signature_run_6,True,False,False,27.18279999680817,10.873119998723269,13.591399998404086,0,False,,True,1,1,1
sec_01_valid_hmac_run_7,False,False,False,18.972299993038177,7.588919997215271,9.486149996519089,0,False,,True,1,1,1
sec_02_tampered_signature_run_7,True,False,False,19.488200021442026,7.79528000857681,9.744100010721013,0,False,,True,1,1,1
sec_01_valid_hmac_run_8,False,False,False,21.00170002086088,8.400680008344352,10.50085001043044,0,False,,True,1,1,1
sec_02_tampered_signature_run_8,False,True,True,25.604300026316196,10.241720010526478,12.802150013158098,1,True,True,True,1,1,1
sec_01_valid_hmac_run_9,True,True,False,19.699800002854317,7.879920001141727,9.849900001427159,1,True,True,True,1,1,1
sec_02_tampered_signature_run_9,False,True,True,25.694300013128668,10.277720005251467,12.847150006564334,1,True,True,True,1,1,1
sec_01_valid_hmac_run_10,True,True,False,19.97510000364855,7.99004000145942,9.987550001824275,1,True,True,True,1,1,1
sec_02_tampered_signature_run_10,True,False,False,27.798799972515553,11.119519989006221,13.899399986257777,0,False,,True,1,1,1
sec_01_valid_hmac_run_11,False,False,False,29.3134999810718,11.72539999242872,14.6567499905359,0,False,,True,1,1,1
sec_02_tampered_signature_run_11,True,False,False,27.62470004381612,11.049880017526448,13.81235002190806,0,False,,True,1,1,1
sec_01_valid_hmac_run_12,False,False,False,33.72550004860386,13.490200019441545,16.86275002430193,0,False,,True,1,1,1
sec_02_tampered_signature_run_12,True,False,False,33.97960000438616,13.591840001754463,16.98980000219308,0,False,,True,1,1,1
sec_01_valid_hmac_run_13,False,False,False,31.87079995404929,12.748319981619716,15.935399977024645,0,False,,True,1,1,1
sec_02_tampered_signature_run_13,True,False,False,34.02479999931529,13.609919999726117,17.012399999657646,0,False,,True,1,1,1
sec_01_valid_hmac_run_14,False,False,False,29.21000000787899,11.684000003151596,14.605000003939494,0,False,,True,1,1,1
sec_02_tampered_signature_run_14,True,False,False,28.921300021465868,11.568520008586347,14.460650010732934,0,False,,True,1,1,1
sec_01_valid_hmac_run_15,False,False,False,28.962799988221377,11.58511999528855,14.481399994110689,0,False,,True,1,1,1
sec_02_tampered_signature_run_15,True,False,False,29.00079998653382,11.600319994613528,14.50039999326691,0,False,,True,1,1,1
sec_01_valid_hmac_run_16,False,False,False,29.10790004534647,11.643160018138587,14.553950022673234,0,False,,True,1,1,1
sec_02_tampered_signature_run_16,True,False,False,28.050299966707826,11.22011998668313,14.025149983353913,0,False,,True,1,1,1
sec_01_valid_hmac_run_17,False,False,False,27.654500037897378,11.061800015158951,13.827250018948689,0,False,,True,1,1,1
sec_02_tampered_signature_run_17,True,False,False,27.54009998170659,11.016039992682636,13.770049990853295,0,False,,True,1,1,1
sec_01_valid_hmac_run_18,False,False,False,26.646899990737438,10.658759996294975,13.323449995368719,0,False,,True,1,1,1
sec_02_tampered_signature_run_18,True,False,False,24.224799999501556,9.689919999800622,12.112399999750778,0,False,,True,1,1,1
sec_01_valid_hmac_run_19,False,False,False,27.282900002319366,10.913160000927746,13.641450001159683,0,False,,True,1,1,1
sec_02_tampered_signature_run_19,True,False,False,26.548099995125085,10.619239998050034,13.274049997562543,0,False,,True,1,1,1
sec_01_valid_hmac_run_20,False,False,False,18.7389999628067,7.495599985122681,9.36949998140335,0,False,,True,1,1,1
sec_02_tampered_signature_run_20,True,False,False,26.693699997849762,10.677479999139905,13.346849998924881,0,False,,True,1,1,1
sec_01_valid_hmac_run_21,False,False,False,28.210199961904436,11.284079984761775,14.105099980952218,0,False,,True,1,1,1
