test_id,success,is_verified,false_acceptance,planning_time_ms,verification_latency_ms,planner_latency_ms,expanded_search_nodes,graph_reachable,lifecycle_recovered,telemetry_attributed,plan_depth,graph_depth,candidate_count
life_01_decay_recovery_run_0,False,False,False,41.03759996360168,16.41503998544067,20.51879998180084,0,False,,True,1,1,1
life_02_canonical_immunity_run_0,False,False,False,29.883400013204664,11.953360005281866,14.941700006602332,0,False,,True,1,1,1
life_01_decay_recovery_run_1,False,False,False,33.218399970792234,13.287359988316894,16.609199985396117,0,False,,True,1,1,1
life_02_canonical_immunity_run_1,False,False,False,28.418899979442358,11.367559991776943,14.209449989721179,0,False,,True,1,1,1
life_01_decay_recovery_run_2,False,False,False,29.020599962677807,11.608239985071123,14.510299981338903,0,False,,True,1,1,1
life_02_canonical_immunity_run_2,False,False,False,28.39930000482127,11.359720001928508,14.199650002410635,0,False,,True,1,1,1
life_01_decay_recovery_run_3,False,False,False,30.41160001885146,12.164640007540584,15.20580000942573,0,False,,True,1,1,1
life_02_canonical_immunity_run_3,False,False,False,29.196100018452853,11.678440007381141,14.598050009226426,0,False,,True,1,1,1
life_01_decay_recovery_run_4,False,False,False,27.99349999986589,11.197399999946356,13.996749999932945,0,False,,True,1,1,1
life_02_canonical_immunity_run_4,False,False,False,27.753899979870766,11.101559991948307,13.876949989935383,0,False,,True,1,1,1
life_01_decay_recovery_run_5,False,False,False,31.16720000980422,12.466880003921688,15.58360000490211,0,False,,True,1,1,1
life_02_canonical_immunity_run_5,False,False,False,31.61910001654178,12.647640006616712,15.80955000827089,0,False,,True,1,1,1
life_01_decay_recovery_run_6,False,False,False,29.160599980968982,11.664239992387593,14.580299990484491,0,False,,True,1,1,1
life_02_canonical_immunity_run_6,False,False,False,28.70160003658384,11.480640014633536,14.35080001829192,0,False,,True,1,1,1
life_01_decay_recovery_run_7,False,False,False,36.08350001741201,14.433400006964803,18.041750008706003,0,False,,True,1,1,1
life_02_canonical_immunity_run_7,False,False,False,29.353899997659028,11.741559999063611,14.676949998829514,0,False,,True,1,1,1
life_01_decay_recovery_run_8,False,False,False,34.53210002044216,13.812840008176863,17.26605001022108,0,False,,True,1,1,1
life_02_canonical_immunity_run_8,False,False,False,32.256499980576336,12.902599992230535,16.128249990288168,0,False,,True,1,1,1
life_01_decay_recovery_run_9,True,True,False,25.209199986420572,10.083679994568229,12.604599993210286,1,True,True,True,1,1,1
life_02_canonical_immunity_run_9,False,False,False,28.797200007829815,11.518880003131926,14.398600003914908,0,False,,True,1,1,1
life_01_decay_recovery_run_10,False,False,False,29.574599990155548,11.82983999606222,14.787299995077774,0,False,,True,1,1,1
life_02_canonical_immunity_run_10,True,True,False,22.524499974679202,9.00979998987168,11.262249987339601,1,True,True,True,1,1,1
life_01_decay_recovery_run_11,True,True,False,17.965000006370246,7.186000002548099,8.982500003185123,1,True,True,True,1,1,1
